City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Sal Rei,CV,76.68,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
396,Jacqueville,CI,79.32,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
397,Sabang,ID,81.0,overcast clouds,5.8933,95.3214,Hotel Citra
398,Ouahigouya,BF,80.74,few clouds,13.5828,-2.4216,Hotel Liberte
400,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
403,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Beach Rotana
412,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
415,Kupang,ID,76.89,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
421,Amahai,ID,78.84,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
424,Puerto Baquerizo Moreno,EC,76.19,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
426,Celestun,MX,80.29,light rain,20.8667,-90.4,Posada Lilia
427,Kerema,PG,80.42,overcast clouds,-7.9631,145.7785,Frena Lodge
437,Kulhudhuffushi,MV,80.51,overcast clouds,6.6221,73.07,Haajy Guest House 1
445,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
453,Port Blair,IN,79.48,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
455,Maracacume,BR,76.64,broken clouds,-2.0428,-45.9592,Hotel Ramos
460,Hobyo,SO,80.73,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
462,Honiara,SB,82.74,overcast clouds,-9.4333,159.95,Heritage Park Hotel
468,Karratha,AU,77.41,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
472,Arlit,NE,75.42,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
476,Santa Isabel Do Rio Negro,BR,77.92,heavy intensity rain,-0.4139,-65.0192,Hotel GSA
478,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
484,Mogadishu,SO,79.18,scattered clouds,2.0371,45.3438,Hotel Juba
486,Maturin,VE,87.64,overcast clouds,9.75,-63.1767,"Residential Hotel ""La Pichincha"""
491,Porto Velho,BR,89.65,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
492,Bassar,TG,77.58,overcast clouds,9.25,0.7833,Hôtel KYRIAD
